ST01Q01,International Grade,Me,International Grade,,,,,,,,2012,,,,,,,,,,,
SC33Q02C,Responsibility - Firing teachers - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,פיטורי מורים,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q02D,Responsibility - Firing teachers - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,פיטורי מורים,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q02E,Responsibility - Firing teachers - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,פיטורי מורים,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q03A,Responsibility - Teacher start salaries - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,שכר התחלתי למורים,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q03B,Responsibility - Teacher start salaries - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,שכר התחלתי למורים,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q03C,Responsibility - Teacher start salaries - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,שכר התחלתי למורים,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q03D,Responsibility - Teacher start salaries - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,שכר התחלתי למורים,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q03E,Responsibility - Teacher start salaries - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,שכר התחלתי למורים,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q04A,Responsibility - Salary increase - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,העלאות שכר,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q04B,Responsibility - Salary increase - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,העלאות שכר,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q04C,Responsibility - Salary increase - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,העלאות שכר,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q04D,Responsibility - Salary increase - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,העלאות שכר,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q04E,Responsibility - Salary increase - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,העלאות שכר,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q05A,Responsibility - Budget formulation - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,תקציב בית הספר,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q05B,Responsibility - Budget formulation - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,תקציב בית הספר,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q05C,Responsibility - Budget formulation - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,תקציב בית הספר,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q05D,Responsibility - Budget formulation - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,תקציב בית הספר,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q05E,Responsibility - Budget formulation - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,תקציב בית הספר,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q06A,Responsibility - Budget allocation - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,חלוקת התקציב,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q06B,Responsibility - Budget allocation - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,חלוקת התקציב,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q06C,Responsibility - Budget allocation - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,חלוקת התקציב,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q06D,Responsibility - Budget allocation - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,חלוקת התקציב,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q06E,Responsibility - Budget allocation - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,חלוקת התקציב,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q07A,Responsibility - Disciplinary policies - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,נהלי משמעת,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q07B,Responsibility - Disciplinary policies - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,נהלי משמעת,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q07C,Responsibility - Disciplinary policies - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,נהלי משמעת,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q07D,Responsibility - Disciplinary policies - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,נהלי משמעת,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q07E,Responsibility - Disciplinary policies - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,נהלי משמעת,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q08A,Responsibility - Assessment policies - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,הערכת תלמידים,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q08B,Responsibility - Assessment policies - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,הערכת תלמידים,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q08C,Responsibility - Assessment policies - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,הערכת תלמידים,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q08D,Responsibility - Assessment policies - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,הערכת תלמידים,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q08E,Responsibility - Assessment policies - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,הערכת תלמידים,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q09A,Responsibility - Student admittance - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קבלת תלמידים,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q09B,Responsibility - Student admittance - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קבלת תלמידים,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q09C,Responsibility - Student admittance - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קבלת תלמידים,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q09D,Responsibility - Student admittance - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קבלת תלמידים,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q09E,Responsibility - Student admittance - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קבלת תלמידים,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q10A,Responsibility - Textbook selection - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,בחירת ספרי לימוד,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q10B,Responsibility - Textbook selection - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,בחירת ספרי לימוד,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q10C,Responsibility - Textbook selection - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,בחירת ספרי לימוד,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q10D,Responsibility - Textbook selection - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,בחירת ספרי לימוד,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q10E,Responsibility - Textbook selection - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,בחירת ספרי לימוד,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q11A,Responsibility - Course content - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת תכני השיעורים,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q11B,Responsibility - Course content - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת תכני השיעורים,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q11C,Responsibility - Course content - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת תכני השיעורים,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q11D,Responsibility - Course content - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת תכני השיעורים,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q11E,Responsibility - Course content - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת תכני השיעורים,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q12A,Responsibility - Courses offered - Principals,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת המקצועות,המנהלים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q12B,Responsibility - Courses offered - Teachers,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת המקצועות,המורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q12C,Responsibility - Courses offered - <School governing board>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת המקצועות,הנהגת הורים,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q12D,Responsibility - Courses offered - <Regional or local education authority>,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת המקצועות,רשת חינוך מקומית,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC33Q12E,Responsibility - Courses offered - National education authority,School Policies and Practices,,,,מדיניות בית הספר,,,,,,,,,,,,,,,,
,קביעת המקצועות,משרד החינוך,על מי מוטלת אחריות משמעותית למשימות הבאות,,2012,,,,,,,,,,,,,,,,,
SC34Q01,School Leadership - Enhance reputation,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q02,School Leadership - Student results,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q03,School Leadership - Development activities,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q04,School Leadership - Educational goals,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q05,School Leadership - Educational research,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q06,School Leadership - Praise teacher learning,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q07,School Leadership - Discuss problems,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q08,School Leadership - Importance of social capacities,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q09,School Leadership - Disruptive behaviour,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q10,School Leadership - Staff decision making,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q11,School Leadership - Improvement culture,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q12,School Leadership - Reviewing management,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q13,School Leadership - Joint problem solving,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q14,School Leadership - Goal discussion,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q15,School Leadership - Goal-oriented curriculum,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q16,School Leadership - Curricular strengths,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q17,School Leadership - Inservice activities,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q18,School Leadership - Sharing ideas or information,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q19,School Leadership - Informal observations,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q20,School Leadership - Review student work,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC34Q22,School Leadership - Evaluate staff,School Policies and Practices,,,,מנהיגות חינוכית,,,,,2012,,,,,,,,,,,
SC35Q01,Maths Professional Development - All staff,School Policies and Practices,,,,פיתוח מקצועי במתמטיקה,כל המורים,,,,2012,,,,,,,,,,,
SC35Q02,Maths Professional Development - Maths teachers,School Policies and Practices,,,,פיתוח מקצועי במתמטיקה,מורי מתמטיקה,,,,2012,,,,,,,,,,,
SC39Q01,Quality Assurance - Specification of profile,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q02,Quality Assurance - Specification of standards,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q03,Quality Assurance - Data recording,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q05,Quality Assurance - Internal evaluation,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q06,Quality Assurance - External evaluation,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q07,Quality Assurance - Student feed-back,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q08,Quality Assurance - Teacher mentoring,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q09,Quality Assurance - Expert consultation,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC39Q10,Quality Assurance - Standardised maths policy,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC40Q01,Maths Policy - Computer use,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC40Q02,Maths Policy - Textbook,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC40Q03,Maths Policy - Standardised curriculum,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC44Q01,Student Transfer - Low achievement,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC44Q02,Student Transfer - High achievement,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC44Q03,Student Transfer - Behavioural problems,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC44Q04,Student Transfer - Special learning needs,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC44Q05,Student Transfer - Parents request,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC44Q06,Transfer - other reasons,School Policies and Practices,,,,,,,,,2012,,,,,,,,,,,
SC45Q01,Compulsory FE,Financial Education at School,,,Is financial education compulsory in your school?,,,,,,2012,,,,,,,,,,,
SC46Q01,Teaching FE - Separate subject,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q02,Teaching FE - Cross-curricular subject,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q03,Teaching FE - Part of <business or economics> course,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q04,Teaching FE - Part of humanities subjects,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q05,Teaching FE - Part of mathematics,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q06,Teaching FE - Extra-curricular activity,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q07,Teaching FE - Private sector,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q08,Teaching FE - Public sector,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC46Q09,Teaching FE - Class teacher lessons,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC47Q01,Availability of FE,Financial Education at School,,,Which of the statements below best describes the situation for students in <national modal grade for 15-year-olds> regarding the availability of financial education in your school?,,,,,,2012,,,,,,,,,,,
SC51Q01,FE Professional development \96 FE Staff,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC51Q02,FE Professional development \96 Non FE Staff,Financial Education at School,,,,,,,,,2012,,,,,,,,,,,
SC52Q01,Teaching FE \96 Teachers,,,,,,,,,,2012,,,,,,,,,,,
SC52Q02,Teaching FE \96 NGO,,,,,,,,,,2012,,,,,,,,,,,
ABGMATH,Ability grouping for mathematics classes,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
ASSESS,Use of assessment,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
CLSIZE,Class size,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
COMPWEB,Ratio of computers connected to WEB and number of computers,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
CREACTIV,Extracurricular creative activities at school,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
RATCMP15,Ratio of computers for education and number of students in the <national modal grade for 15-year-olds>,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
LEADCOM,Framing and communicating the school\92s goals and curricular development,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
LEADINST,Instructional Leadership,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
LEADPD,Promoting instructional improvements and professional development,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
LEADTCH,Teacher participation in leadership,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
MACTIV,Mathematics Extracurricular activities at school,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
MATHEXC,Mathematics extension course types offered,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
PCGIRLS,Proportion of girls at school,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
PROPCERT,Proportion of certified teachers,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
PROPMA5A,Proportion of maths teachers with ISCED 5A (maths major),,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
PROPMATH,Proportion of maths teachers,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
PROPQUAL,Proportion of teachers with ISCED 5A,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
RESPCUR,Index of school responsibility for curriculum and assessment,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
RESPRES,Index of school responsibility for resource allocation,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
SCHAUTON,School Autonomy,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
SCHLTYPE,School Ownership,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
SCHSEL,School selectivity/student admission policies,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
SCHSIZE,Total school enrolment,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
SCMATBUI,Quality of physical infrastructure,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
SCMATEDU,Quality of school educational resources,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
SMRATIO,Maths Teacher-student ratio,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
STRATIO,Student-Teacher ratio,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
STUDCLIM,Student-Related Factors Affecting School Climate,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
TCHPARTI,Teacher participation/autonomy,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
TCMORALE,Teacher Morale,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
TCFOCST,Teacher focus,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
TCSHORT,Shortage of teaching Staff,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
TEACCLIM,Teacher related factors affecting school climate,,,,,מדדי בית ספר,,,,,2012,,,,,,,,,,,
ST01Q01,GRADE,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST02Q01,<Programme>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST03Q02,Birth Month,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST03Q03,Birth Year,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST04Q01,Sex,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST05Q01,Attend <ISCED 0>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST06Q01,Age at <ISCED 1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST07Q01,Repeat <ISCED 1>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST07Q02,Repeat <ISCED 2>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST07Q03,Repeat <ISCED 3>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST08Q01,At Home - Mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST08Q02,At Home - Father,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST08Q03,At Home - Brothers,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST08Q04,At Home - Sisters,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST08Q05,At Home - Grandparents,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST08Q06,At Home - Others,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST09Q01,Mother Occupation,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST10Q01,Mother  <Highest Schooling>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST11Q01,Mother <ISCED 6>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST11Q02,Mother <ISCED5A>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST11Q03,Mother <ISCED5B>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST11Q04,Mother <ISCED4>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST12Q01,Mother Current Job Status,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST13Q01,Father Occupation,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST14Q01,Father  <Highest Schooling>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST15Q01,Father <ISCED 6>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST15Q02,Father <ISCED 5A>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST15Q03,Father <ISCED 5B>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST15Q04,Father <ISCED 4>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST16Q01,Father Current Job Status,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST17Q01,Country of birth Self,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST17Q02,Country of birth Mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST17Q03,Country of birth Father,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
ST18Q01,Country of birth Age,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,,,,,,,,,,,
